Laura Stevenson: 
 third: KingGeorge
Sharon Barnes: 
 first: KingGeorge
 second: Zozobra
 third: MeatBarExpress
Roberto Johnson: 
 first: KingGeorge
 second: MiCasa
 third: Giraffe
Angela Flores: 
 first: Gutte
 second: McDonalds
 third: MiCasa
Deborah Ayres: 
 first: Zozobra
 second: Jems
 third: McDonalds
Norman Perkins: 
 first: HumusEliahu
 second: Gutte
 third: Giraffe
Mary Foote: 
 first: Giraffe
 second: ObanKoban
 third: MeatBarExpress
Sean Taylor: 
 first: Jems
 second: McDonalds
 third: Gutte
Kyle Snedeker: 
 first: Zozobra
 second: Gutte
 third: Liv
Derek Faye: 
 first: MeatBarExpress
 second: HumusEliahu
 third: McDonalds
Cheryl Leffler: 
 first: McDonalds
 second: Giraffe
 third: HumusEliahu
Parker Taylor: 
 first: MeatBarExpress
 second: MiCasa
 third: KingGeorge
Pauline Davidson: 
 first: MeatBarExpress
 second: HumusEliahu
 third: KingGeorge
Kathleen Johnson: 
 first: HumusEliahu
 second: ObanKoban
 third: Liv
Zachary Frenette: 
 first: Giraffe
 second: Liv
 third: Zozobra
James Layton: 
 first: KingGeorge
 second: Jems
 third: ObanKoban
Constance Kreger: 
 first: Giraffe
 second: MiCasa
 third: McDonalds
Stevie Mueller: 
 first: MiCasa
 second: Gutte
 third: ObanKoban
William Reynolds: 
 first: Giraffe
 second: KingGeorge
 third: Jems
Joshua Smith: 
 first: Liv
 second: ObanKoban
 third: Zozobra
Kevin Carter: 
 first: Liv
 second: McDonalds
 third: Jems
Florence Robertson: 
 first: Zozobra
 second: Gutte
 third: HumusEliahu
Albert Austin: 
 first: MeatBarExpress
 second: MiCasa
 third: HumusEliahu
Grace Amundson: 
 first: MiCasa
 second: HumusEliahu
 third: KingGeorge
Katherine Ruiz: 
 first: Zozobra
 second: McDonalds
 third: HumusEliahu
Frank Laney: 
 first: Liv
 second: McDonalds
 third: Gutte
Amanda Kamp: 
 first: ObanKoban
 second: Jems
 third: Zozobra
Anthony Gooch: 
 first: KingGeorge
 second: Giraffe
 third: McDonalds
Mary Hamrick: 
 first: MiCasa
 second: Jems
 third: HumusEliahu
Dennis Rosol: 
 first: Zozobra
 second: Jems
 third: MiCasa
Nathan Baskin: 
 first: HumusEliahu
 second: MeatBarExpress
 third: Giraffe
William Bernard: 
 first: McDonalds
 second: ObanKoban
 third: Zozobra
Angelica Munoz: 
 first: Liv
 second: Giraffe
 third: McDonalds
Verna Reed: 
 first: Giraffe
 second: McDonalds
 third: Liv
Sara Coleman: 
 first: Giraffe
 second: MiCasa
 third: Zozobra
Anthony Walley: 
 first: MiCasa
 second: HumusEliahu
 third: Zozobra
Benjamin Donahue: 
 first: Liv
 second: Gutte
 third: HumusEliahu
Kasey Buchanan: 
 first: Gutte
 second: MiCasa
 third: Jems
Richard Fitzhenry: 
 first: Liv
 second: MiCasa
 third: Zozobra
Jessica Bellamy: 
 first: Jems
 second: MiCasa
 third: MeatBarExpress
David Harrison: 
 first: ObanKoban
 second: Jems
 third: HumusEliahu
Jami Soza: 
 first: ObanKoban
 second: Gutte
 third: MiCasa
Janice Garrett: 
 first: Gutte
 second: ObanKoban
 third: Zozobra
Rebecca Henderson: 
 first: Liv
 second: MiCasa
 third: HumusEliahu
Helen Juergens: 
 first: Giraffe
 second: Gutte
 third: ObanKoban
Stephen Smith: 
 first: ObanKoban
 second: Gutte
 third: Liv
Sheryl Adcock: 
 first: HumusEliahu
 second: McDonalds
 third: KingGeorge
Issac Turnmire: 
 first: Giraffe
 second: Zozobra
 third: MeatBarExpress
Ernest Celedon: 
 first: McDonalds
 second: Liv
 third: Gutte
Robert Chappell: 
 first: Zozobra
 second: Jems
 third: McDonalds
Robert Harris: 
 first: MiCasa
 second: Liv
 third: MeatBarExpress
Roderick Mcneil: 
 first: ObanKoban
 second: Jems
 third: Gutte
James Rooney: 
 first: Gutte
 second: McDonalds
 third: MiCasa
Julia Rockett: 
 first: MeatBarExpress
 second: Gutte
 third: Giraffe
Joan Pair: 
 first: MiCasa
 second: HumusEliahu
 third: Giraffe
Kimberly Stone: 
 first: Giraffe
 second: HumusEliahu
 third: ObanKoban
Bennie Bales: 
 first: Jems
 second: Giraffe
 third: ObanKoban
Cynthia Healy: 
 first: KingGeorge
 second: Zozobra
 third: Gutte
Rita Wu: 
 first: MiCasa
 second: Liv
 third: Zozobra
Clarence Cuppernell: 
 first: Gutte
 second: Liv
 third: HumusEliahu
Lanie Ramsey: 
 first: KingGeorge
 second: MeatBarExpress
 third: ObanKoban
Carolyn Hanner: 
 first: Liv
 second: Jems
 third: MeatBarExpress
Antonia Bombich: 
 first: HumusEliahu
 second: MeatBarExpress
 third: MiCasa
Zachary Harris: 
 first: ObanKoban
 second: Jems
 third: Giraffe
Ingrid Haugen: 
 first: Zozobra
 second: Jems
 third: McDonalds
Robert Hokanson: 
 first: Jems
 second: HumusEliahu
 third: McDonalds
Arlene Ocheltree: 
 first: Giraffe
 second: Gutte
 third: KingGeorge
Troy Ibara: 
 first: Jems
 second: HumusEliahu
 third: ObanKoban
Florinda Kisner: 
 first: HumusEliahu
 second: McDonalds
 third: KingGeorge
Leonard Berry: 
 first: KingGeorge
 second: Giraffe
 third: Zozobra
James Harris: 
 first: MeatBarExpress
 second: McDonalds
 third: HumusEliahu
Fannie Luciano: 
 first: Liv
 second: MiCasa
 third: HumusEliahu
Wendy Denney: 
 first: HumusEliahu
 second: MeatBarExpress
 third: KingGeorge
William Ritter: 
 first: Giraffe
 second: Zozobra
 third: Jems
Robert Faucette: 
 first: HumusEliahu
 second: ObanKoban
 third: KingGeorge
Cary Peterson: 
 first: KingGeorge
 second: Gutte
 third: MiCasa
Mark Blanco: 
 first: HumusEliahu
 second: MiCasa
 third: Zozobra
Eileen Calvello: 
 first: McDonalds
 second: Liv
 third: Jems
Michael Velasquez: 
 first: McDonalds
 second: HumusEliahu
 third: Giraffe
Anita Belka: 
 first: Jems
 second: Giraffe
 third: MeatBarExpress
Ethan Mitchell: 
 first: Zozobra
 second: Jems
 third: Liv
James Carter: 
 first: MiCasa
 second: Liv
 third: Zozobra
Carl Branscomb: 
 first: McDonalds
 second: Liv
 third: HumusEliahu
Grace Linder: 
 first: MeatBarExpress
 second: ObanKoban
 third: HumusEliahu
Mary Franco: 
 first: Liv
 second: ObanKoban
 third: HumusEliahu
Patricia Tran: 
 first: MiCasa
 second: HumusEliahu
 third: MeatBarExpress
Terry Rice: 
 first: Giraffe
 second: ObanKoban
 third: McDonalds
James Adame: 
 first: KingGeorge
 second: Zozobra
 third: Giraffe
Willie Hill: 
 first: MeatBarExpress
 second: HumusEliahu
 third: Giraffe
Mildred Mcnaughton: 
 first: Liv
 second: Gutte
 third: ObanKoban
Cynthia Phillips: 
 first: Giraffe
 second: Jems
 third: Gutte
Geneva Weddington: 
 first: MeatBarExpress
 second: ObanKoban
 third: Jems
John Skinner: 
 first: Gutte
 second: MiCasa
 third: Zozobra
Stanley Marlett: 
 first: MeatBarExpress
 second: Giraffe
 third: Liv
Amanda Peters: 
 first: ObanKoban
 second: KingGeorge
 third: Giraffe
Judith Jones: 
 first: MiCasa
 second: Giraffe
 third: KingGeorge
Cecile Davis: 
 first: HumusEliahu
 second: Jems
 third: McDonalds
Ivan Deal: 
 first: MeatBarExpress
 second: Gutte
 third: MiCasa
Albert Mcmurtry: 
 first: Jems
 second: KingGeorge
 third: McDonalds
David England: 
 first: Zozobra
 second: MiCasa
 third: McDonalds
Donna Shaffer: 
 first: MiCasa
 second: MeatBarExpress
 third: KingGeorge
Cameron Wass: 
 first: Liv
 second: MiCasa
 third: HumusEliahu
Harland Armand: 
 first: ObanKoban
 second: Jems
 third: Giraffe
Edwin Blunt: 
 first: MiCasa
 second: KingGeorge
 third: McDonalds
William Dudley: 
 first: HumusEliahu
 second: KingGeorge
 third: Liv
Rosalie Hall: 
 first: Liv
 second: HumusEliahu
 third: Zozobra
Joseph Holland: 
 first: Liv
 second: MeatBarExpress
 third: HumusEliahu
Lean Hensley: 
 first: MiCasa
 second: HumusEliahu
 third: McDonalds
Jerry Wagner: 
 first: KingGeorge
 second: Liv
 third: Gutte
Helen Drews: 
 first: Giraffe
 second: MeatBarExpress
 third: McDonalds
Daisy Patterson: 
 first: KingGeorge
 second: Zozobra
 third: ObanKoban
Nancy Johnson: 
 first: Gutte
 second: KingGeorge
 third: Jems
David Mullen: 
 first: HumusEliahu
 second: Liv
 third: Gutte
Harriet Batts: 
 first: McDonalds
 second: ObanKoban
 third: HumusEliahu
Annabelle Cooke: 
 first: Gutte
 second: Liv
 third: KingGeorge
Andrea Grappe: 
 first: KingGeorge
 second: ObanKoban
 third: Jems
Alejandro Stacy: 
 first: Zozobra
 second: Jems
 third: ObanKoban
Steven Sadberry: 
 first: MeatBarExpress
 second: ObanKoban
 third: Jems
Travis Pelley: 
 first: McDonalds
 second: HumusEliahu
 third: ObanKoban
Christopher Gallagher: 
 first: MiCasa
 second: Liv
 third: MeatBarExpress
Morris Raheja: 
 first: Zozobra
 second: Jems
 third: HumusEliahu
Carolyn Hopkins: 
 first: Zozobra
 second: MeatBarExpress
 third: Gutte
Susan Bolf: 
 first: Jems
 second: Giraffe
 third: McDonalds
Shana Situ: 
 first: HumusEliahu
 second: Zozobra
 third: Jems
James Tamayo: 
 first: Zozobra
 second: MeatBarExpress
 third: ObanKoban
Charles Mcgill: 
 first: HumusEliahu
 second: Gutte
 third: ObanKoban
Anthony Mccorkle: 
 first: Giraffe
 second: MiCasa
 third: McDonalds
Judy Bass: 
 first: Gutte
 second: KingGeorge
 third: Jems
Cynthia Wayland: 
 first: Liv
 second: KingGeorge
 third: Gutte
Jeff Ortega: 
 first: HumusEliahu
 second: Zozobra
 third: KingGeorge
Carol Nelson: 
 first: McDonalds
 second: KingGeorge
 third: Gutte
Bobby Fleetwood: 
 first: KingGeorge
 second: MiCasa
 third: ObanKoban
Michael Saxon: 
 first: Liv
 second: McDonalds
 third: ObanKoban
Eleanore Chattin: 
 first: MeatBarExpress
 second: Gutte
 third: MiCasa
Debra Copeland: 
 first: HumusEliahu
 second: MeatBarExpress
 third: Zozobra
Dixie Fogle: 
 first: Gutte
 second: Zozobra
 third: Jems
Jennifer Yates: 
 first: McDonalds
 second: Liv
 third: KingGeorge
Van Lautman: 
 first: MiCasa
 second: Gutte
 third: HumusEliahu
Alexa Pack: 
 first: ObanKoban
 second: KingGeorge
 third: Gutte
Gregory Deshong: 
 first: Jems
 second: Gutte
 third: MiCasa
James Kennan: 
 first: Zozobra
 second: ObanKoban
 third: KingGeorge
Gerald Kratochvil: 
 first: ObanKoban
 second: KingGeorge
 third: MeatBarExpress
Rick Stassi: 
 first: Zozobra
 second: Giraffe
 third: McDonalds
Joshua Blackwell: 
 first: Zozobra
 second: MeatBarExpress
 third: Gutte
Cleta Aden: 
 first: MiCasa
 second: McDonalds
 third: Zozobra
Tracy Rena: 
 first: HumusEliahu
 second: Liv
 third: ObanKoban
Billy Rodriguez: 
 first: MeatBarExpress
 second: ObanKoban
 third: Gutte
William Mcnurlen: 
 first: McDonalds
 second: Liv
 third: ObanKoban
Laura Reeves: 
 first: MeatBarExpress
 second: ObanKoban
 third: MiCasa
Frank Willoughby: 
 first: HumusEliahu
 second: KingGeorge
 third: Jems
Lillian Hunt: 
 first: Giraffe
 second: HumusEliahu
 third: Jems
Quinton Lopez: 
 first: Jems
 second: MiCasa
 third: Gutte
Mary Rall: 
 first: Zozobra
 second: MiCasa
 third: McDonalds
Rosa Padilla: 
 first: Gutte
 second: Jems
 third: MeatBarExpress
Gregory Winstead: 
 first: KingGeorge
 second: MiCasa
 third: Gutte
Miriam Mccormick: 
 first: Gutte
 second: Jems
 third: KingGeorge
Robert Sanmiguel: 
 first: Giraffe
 second: Zozobra
 third: MeatBarExpress
Jose Yang: 
 first: Jems
 second: ObanKoban
 third: Gutte
Yvonne Eads: 
 first: MeatBarExpress
 second: MiCasa
 third: McDonalds
Bruce Rains: 
 first: KingGeorge
 second: Zozobra
 third: McDonalds
Dannie Kaupp: 
 first: HumusEliahu
 second: KingGeorge
 third: Zozobra
Dora Friedrich: 
 first: Gutte
 second: KingGeorge
 third: Giraffe
Melinda Osborn: 
 first: McDonalds
 second: Zozobra
 third: MiCasa
Nicholas Morse: 
 first: Zozobra
 second: MeatBarExpress
 third: ObanKoban
Elizabeth Johnson: 
 first: Liv
 second: KingGeorge
 third: Gutte
Donna Anderson: 
 first: MiCasa
 second: Giraffe
 third: KingGeorge
James Marcantonio: 
 first: KingGeorge
 second: Giraffe
 third: MeatBarExpress
Margaret Moe: 
 first: KingGeorge
 second: Gutte
 third: HumusEliahu
Pedro Enochs: 
 first: Liv
 second: KingGeorge
 third: ObanKoban
Merle Murray: 
 first: Liv
 second: Jems
 third: Giraffe
Ed Parson: 
 first: McDonalds
 second: MeatBarExpress
 third: MiCasa
Edna Gregory: 
 first: Liv
 second: Giraffe
 third: Jems
Lashay Gonzalez: 
 first: Gutte
 second: KingGeorge
 third: HumusEliahu
James Turner: 
 first: Gutte
 second: HumusEliahu
 third: KingGeorge
Leona Gibb: 
 first: MiCasa
 second: KingGeorge
 third: HumusEliahu
Joseph Moten: 
 first: HumusEliahu
 second: Gutte
 third: Jems
William Davis: 
 first: Gutte
 second: MeatBarExpress
 third: Zozobra
Joseph Ramirez: 
 first: ObanKoban
 second: MiCasa
 third: Gutte
Michael Hughes: 
 first: McDonalds
 second: Zozobra
 third: Giraffe
Marjorie Carrier: 
 first: KingGeorge
 second: Gutte
 third: Giraffe
Tommy Upchurch: 
 first: Gutte
 second: Zozobra
 third: ObanKoban
Joshua Jimenez: 
 first: MeatBarExpress
 second: KingGeorge
 third: Jems
John Dias: 
 first: Liv
 second: MeatBarExpress
 third: KingGeorge
Kimberly Caceres: 
 first: Jems
 second: Zozobra
 third: ObanKoban
Conrad Nissen: 
 first: Gutte
 second: McDonalds
 third: KingGeorge
Kenneth Foulks: 
 first: ObanKoban
 second: Liv
 third: McDonalds
Joan Suhr: 
 first: Liv
 second: MiCasa
 third: HumusEliahu
Barbara Richardson: 
 first: KingGeorge
 second: ObanKoban
 third: Liv
Brian Willis: 
 first: MeatBarExpress
 second: KingGeorge
 third: ObanKoban
George Lee: 
 first: MiCasa
 second: Liv
 third: McDonalds
Adam Goodman: 
 first: KingGeorge
 second: McDonalds
 third: Zozobra
Vickie Long: 
 first: McDonalds
 second: HumusEliahu
 third: Zozobra
Samuel Berry: 
 first: ObanKoban
 second: MeatBarExpress
 third: HumusEliahu
Garry Cole: 
 first: Giraffe
 second: Jems
 third: Liv
Janet Longshore: 
 first: ObanKoban
 second: MiCasa
 third: HumusEliahu
Katherine Pickett: 
 first: Jems
 second: Liv
 third: McDonalds
Helen Stafford: 
 first: McDonalds
 second: HumusEliahu
 third: Jems
Michelle Cole: 
 first: Gutte
 second: KingGeorge
 third: HumusEliahu
George Paneto: 
 first: HumusEliahu
 second: McDonalds
 third: ObanKoban
Johnathon Rodriguez: 
 first: McDonalds
 second: Zozobra
 third: Liv
Jesse Armstrong: 
 first: Zozobra
 second: McDonalds
 third: Giraffe
David Hamilton: 
 first: MiCasa
 second: Giraffe
 third: KingGeorge
Eugenia Welch: 
 first: Liv
 second: Giraffe
 third: Gutte
Connie Watson: 
 first: MeatBarExpress
 second: MiCasa
 third: Jems
Debra Eberhardt: 
 first: Liv
 second: McDonalds
 third: MeatBarExpress
Virginia Henderson: 
 first: Giraffe
 second: Jems
 third: Liv
John Jones: 
 first: MeatBarExpress
 second: Zozobra
 third: ObanKoban
Linda Amezcua: 
 first: KingGeorge
 second: HumusEliahu
 third: MeatBarExpress
Wesley Mcdougald: 
 first: MiCasa
 second: ObanKoban
 third: MeatBarExpress
Dorothy Sudduth: 
 first: Gutte
 second: Giraffe
 third: Liv
Maribel Watts: 
 first: Zozobra
 second: MeatBarExpress
 third: Gutte
Heather Roser: 
 first: Gutte
 second: ObanKoban
 third: Liv
Reba Martinez: 
 first: Giraffe
 second: Gutte
 third: MiCasa
Julie Workman: 
 first: Jems
 second: MeatBarExpress
 third: Liv
Samuel Frasier: 
 first: Gutte
 second: Liv
 third: ObanKoban
Frank Lee: 
 first: Liv
 second: MeatBarExpress
 third: Jems
Betty Reardon: 
 first: MeatBarExpress
 second: Liv
 third: ObanKoban
Irene Bitter: 
 first: MiCasa
 second: Giraffe
 third: MeatBarExpress
Wendy Miller: 
 first: Jems
 second: Liv
 third: KingGeorge
Benjamin Rountree: 
 first: HumusEliahu
 second: KingGeorge
 third: Liv
Craig Lafferty: 
 first: Gutte
 second: Giraffe
 third: MeatBarExpress
David Tisdale: 
 first: KingGeorge
 second: MiCasa
 third: HumusEliahu
Maude Tilford: 
 first: Gutte
 second: Liv
 third: Jems
Nathan Caron: 
 first: Liv
 second: Zozobra
 third: MiCasa
Erin Ortiz: 
 first: KingGeorge
 second: Gutte
 third: MiCasa
Roxanne Gracia: 
 first: Jems
 second: ObanKoban
 third: Gutte
Marguerite Johnson: 
 first: MiCasa
 second: Zozobra
 third: Gutte
Matthew Griffiths: 
 first: MeatBarExpress
 second: ObanKoban
 third: Giraffe
Jose Isbell: 
 first: KingGeorge
 second: Giraffe
 third: Jems
Annie Seldon: 
 first: ObanKoban
 second: Liv
 third: HumusEliahu
Thomas Osborne: 
 first: MeatBarExpress
 second: MiCasa
 third: Jems
Michael Villarreal: 
 first: KingGeorge
 second: Jems
 third: Giraffe
Brent Williams: 
 first: Liv
 second: MiCasa
 third: McDonalds
Timothy Keesee: 
 first: ObanKoban
 second: Gutte
 third: Liv
Saundra Wilson: 
 first: ObanKoban
 second: Jems
 third: MeatBarExpress
Thelma Austin: 
 first: MeatBarExpress
 second: HumusEliahu
 third: Jems
Katrina Stauffer: 
 first: HumusEliahu
 second: MiCasa
 third: Jems
Mamie Hall: 
 first: Zozobra
 second: Gutte
 third: Liv
Robert Guzman: 
 first: McDonalds
 second: Liv
 third: HumusEliahu
James Kamm: 
 first: KingGeorge
 second: MiCasa
 third: Gutte
Thelma Rogers: 
 first: HumusEliahu
 second: Giraffe
 third: MiCasa
Cathy Turner: 
 first: Jems
 second: Giraffe
 third: Zozobra
Eric Senior: 
 first: ObanKoban
 second: KingGeorge
 third: HumusEliahu
Mario Handelman: 
 first: Jems
 second: Zozobra
 third: MiCasa
Barbara Evans: 
 first: Gutte
 second: Liv
 third: McDonalds
Mary Hill: 
 first: MeatBarExpress
 second: Giraffe
 third: Liv
Timothy Rhoades: 
 first: MeatBarExpress
 second: ObanKoban
 third: Giraffe
Jacqueline Cochran: 
 first: ObanKoban
 second: MiCasa
 third: Giraffe
Loretta Reyes: 
 first: Gutte
 second: ObanKoban
 third: HumusEliahu
Christina Vetter: 
 first: MeatBarExpress
 second: HumusEliahu
 third: ObanKoban
Amanda Soto: 
 first: Liv
 second: MiCasa
 third: Gutte
Weston Broussard: 
 first: Jems
 second: MeatBarExpress
 third: Giraffe
Emily Johnson: 
 first: Zozobra
 second: McDonalds
 third: Jems
Karen Harvey: 
 first: KingGeorge
 second: Jems
 third: Giraffe
Matthew Barclay: 
 first: HumusEliahu
 second: Jems
 third: McDonalds
Salvador Gonzales: 
 first: MeatBarExpress
 second: Gutte
 third: Zozobra
Anthony Allen: 
 first: Jems
 second: MiCasa
 third: Giraffe
Miriam Chisler: 
 first: MiCasa
 second: Giraffe
 third: Gutte
Jerome Perry: 
 first: MeatBarExpress
 second: MiCasa
 third: Liv
Ariel Lindsay: 
 first: McDonalds
 second: Giraffe
 third: MeatBarExpress
James Jackson: 
 first: HumusEliahu
 second: KingGeorge
 third: Gutte
Dianna Donaldson: 
 first: ObanKoban
 second: MeatBarExpress
 third: McDonalds
Diane Walker: 
 first: KingGeorge
